"year","month","date_of_month","day_of_week","births","weekend"
2001,"April",9,"Monday",11617,FALSE
2001,"April",10,"Tuesday",13031,FALSE
2001,"April",11,"Wednesday",12912,FALSE
2001,"April",12,"Thursday",12733,FALSE
2001,"April",13,"Friday",10881,FALSE
2001,"April",14,"Saturday",8262,TRUE
2001,"April",15,"Sunday",7230,TRUE
2001,"April",16,"Monday",11220,FALSE
2001,"April",17,"Tuesday",12867,FALSE
2001,"April",18,"Wednesday",12381,FALSE
2001,"April",19,"Thursday",12257,FALSE
2001,"April",20,"Friday",12296,FALSE
2001,"April",21,"Saturday",8849,TRUE
2001,"April",22,"Sunday",7758,TRUE
2001,"April",23,"Monday",11672,FALSE
2001,"April",24,"Tuesday",12981,FALSE
2001,"April",25,"Wednesday",12728,FALSE
2001,"April",26,"Thursday",12560,FALSE
2001,"April",27,"Friday",12335,FALSE
2001,"April",28,"Saturday",8574,TRUE
2001,"April",29,"Sunday",7602,TRUE
2001,"April",30,"Monday",11416,FALSE
2001,"May",1,"Tuesday",13037,FALSE
2001,"May",2,"Wednesday",12542,FALSE
2001,"May",3,"Thursday",12596,FALSE
2001,"May",4,"Friday",12276,FALSE
2001,"May",5,"Saturday",8795,TRUE
2001,"May",6,"Sunday",8001,TRUE
2001,"May",7,"Monday",11635,FALSE
2001,"May",8,"Tuesday",13032,FALSE
2001,"May",9,"Wednesday",12477,FALSE
2001,"May",10,"Thursday",12632,FALSE
2001,"May",11,"Friday",12296,FALSE
2001,"May",12,"Saturday",8692,TRUE
2001,"May",13,"Sunday",7479,TRUE
2001,"May",14,"Monday",11577,FALSE
2001,"May",15,"Tuesday",13124,FALSE
2001,"May",16,"Wednesday",12625,FALSE
2001,"May",17,"Thursday",12630,FALSE
2001,"May",18,"Friday",12313,FALSE
2001,"May",19,"Saturday",8803,TRUE
2001,"May",20,"Sunday",7732,TRUE
2001,"May",21,"Monday",11680,FALSE
2001,"May",22,"Tuesday",13047,FALSE
2001,"May",23,"Wednesday",12936,FALSE
2001,"May",24,"Thursday",13179,FALSE
2001,"May",25,"Friday",12722,FALSE
2001,"May",26,"Saturday",8911,TRUE
2001,"May",27,"Sunday",7529,TRUE
2001,"May",28,"Monday",7993,FALSE
2001,"May",29,"Tuesday",12013,FALSE
2001,"May",30,"Wednesday",13334,FALSE
2001,"May",31,"Thursday",13051,FALSE
2001,"June",1,"Friday",12677,FALSE
2001,"June",2,"Saturday",8920,TRUE
2001,"June",3,"Sunday",7887,TRUE
2001,"June",4,"Monday",11500,FALSE
2001,"June",5,"Tuesday",12683,FALSE
2001,"June",6,"Wednesday",12804,FALSE
2001,"June",7,"Thursday",12566,FALSE
2001,"June",8,"Friday",12451,FALSE
2001,"June",9,"Saturday",8756,TRUE
2001,"June",10,"Sunday",7674,TRUE
2001,"June",11,"Monday",11776,FALSE
2001,"June",12,"Tuesday",13218,FALSE
2001,"June",13,"Wednesday",12342,FALSE
2001,"June",14,"Thursday",12655,FALSE
2001,"June",15,"Friday",12394,FALSE
2001,"June",16,"Saturday",8780,TRUE
2001,"June",17,"Sunday",7722,TRUE
2001,"June",18,"Monday",11756,FALSE
2001,"June",19,"Tuesday",12785,FALSE
2001,"June",20,"Wednesday",12704,FALSE
2001,"June",21,"Thursday",12615,FALSE
2001,"June",22,"Friday",12299,FALSE
2001,"June",23,"Saturday",8452,TRUE
2001,"June",24,"Sunday",7639,TRUE
2001,"June",25,"Monday",11575,FALSE
2001,"June",26,"Tuesday",12939,FALSE
2001,"June",27,"Wednesday",12809,FALSE
2001,"June",28,"Thursday",13059,FALSE
2001,"June",29,"Friday",12922,FALSE
2001,"June",30,"Saturday",9247,TRUE
2001,"July",1,"Sunday",8145,TRUE
2001,"July",2,"Monday",12390,FALSE
2001,"July",3,"Tuesday",13364,FALSE
2001,"July",4,"Wednesday",9608,FALSE
2001,"July",5,"Thursday",12531,FALSE
2001,"July",6,"Friday",13151,FALSE
2001,"July",7,"Saturday",9544,TRUE
2001,"July",8,"Sunday",8249,TRUE
2001,"July",9,"Monday",12036,FALSE
2001,"July",10,"Tuesday",13614,FALSE
2001,"July",11,"Wednesday",13026,FALSE
2001,"July",12,"Thursday",13188,FALSE
2001,"July",13,"Friday",12187,FALSE
2001,"July",14,"Saturday",9269,TRUE
2001,"July",15,"Sunday",8047,TRUE
2001,"July",16,"Monday",12383,FALSE
2001,"July",17,"Tuesday",13657,FALSE
2001,"July",18,"Wednesday",13241,FALSE
2001,"July",19,"Thursday",13293,FALSE
2001,"July",20,"Friday",12950,FALSE
2001,"July",21,"Saturday",9410,TRUE
2001,"July",22,"Sunday",8116,TRUE
2001,"July",23,"Monday",12099,FALSE
2001,"July",24,"Tuesday",13532,FALSE
2001,"July",25,"Wednesday",12988,FALSE
2001,"July",26,"Thursday",13022,FALSE
2001,"July",27,"Friday",12677,FALSE
2001,"July",28,"Saturday",9102,TRUE
2001,"July",29,"Sunday",7892,TRUE
2001,"July",30,"Monday",12150,FALSE
2001,"July",31,"Tuesday",13218,FALSE
2001,"August",1,"Wednesday",12960,FALSE
2001,"August",2,"Thursday",13097,FALSE
2001,"August",3,"Friday",12859,FALSE
2001,"August",4,"Saturday",9143,TRUE
2001,"August",5,"Sunday",8062,TRUE
2001,"August",6,"Monday",12008,FALSE
2001,"August",7,"Tuesday",13488,FALSE
2001,"August",8,"Wednesday",13185,FALSE
2001,"August",9,"Thursday",13339,FALSE
2001,"August",10,"Friday",13094,FALSE
2001,"August",11,"Saturday",9275,TRUE
2001,"August",12,"Sunday",8261,TRUE
2001,"August",13,"Monday",11682,FALSE
2001,"August",14,"Tuesday",13325,FALSE
2001,"August",15,"Wednesday",13332,FALSE
2001,"August",16,"Thursday",13372,FALSE
2001,"August",17,"Friday",13102,FALSE
2001,"August",18,"Saturday",9294,TRUE
2001,"August",19,"Sunday",7945,TRUE
2001,"August",20,"Monday",12313,FALSE
2001,"August",21,"Tuesday",13590,FALSE
2001,"August",22,"Wednesday",13146,FALSE
2001,"August",23,"Thursday",13158,FALSE
2001,"August",24,"Friday",12996,FALSE
2001,"August",25,"Saturday",9229,TRUE
2001,"August",26,"Sunday",8115,TRUE
2001,"August",27,"Monday",12080,FALSE
