"subjectID","sex","age","camera","memory_task","attn_check","memory_score"
40563,"male",21,"Yes","visual",0,77.77777778
40563,"male",21,"Yes","audio",0,44.44444444
40584,"male",20,"Yes","visual",1,33.33333333
40584,"male",20,"Yes","audio",1,66.66666667
40603,"female",20,"No","audio",1,88.88888889
40603,"female",20,"No","visual",1,66.66666667
40643,"male",19,"No","audio",1,88.88888889
40643,"male",19,"No","visual",1,55.55555556
40683,"female",21,"No","visual",0,44.44444444
40683,"female",21,"No","audio",0,55.55555556
40686,"male",19,"Yes","visual",1,77.77777778
40686,"male",19,"Yes","audio",1,88.88888889
40731,"female",22,"Yes","visual",1,66.66666667
40731,"female",22,"Yes","audio",1,55.55555556
40795,"female",30,"Yes","audio",1,77.77777778
40795,"female",30,"Yes","visual",1,66.66666667
40814,"male",25,"No","visual",1,44.44444444
40814,"male",25,"No","audio",1,88.88888889
40847,"male",19,"Yes","visual",1,77.77777778
40847,"male",19,"Yes","audio",1,77.77777778
40879,"male",19,"Yes","visual",1,77.77777778
40879,"male",19,"Yes","audio",1,44.44444444
40913,"male",22,"No","audio",1,77.77777778
40913,"male",22,"No","visual",1,44.44444444
40934,"male",20,"No","visual",1,44.44444444
40934,"male",20,"No","audio",1,66.66666667
41068,"female",19,"Yes","visual",1,11.11111111
41068,"female",19,"Yes","audio",1,44.44444444
41088,"male",20,"No","visual",1,66.66666667
41088,"male",20,"No","audio",1,77.77777778
41134,"female",22,"No","audio",1,100
41134,"female",22,"No","visual",1,55.55555556
41186,"male",20,"Yes","visual",0,44.44444444
41186,"male",20,"Yes","audio",0,77.77777778
41307,"male",20,"Yes","visual",1,77.77777778
41307,"male",20,"Yes","audio",1,66.66666667
41313,"male",19,"No","audio",1,66.66666667
41313,"male",19,"No","visual",1,66.66666667
41323,"female",20,"No","audio",1,55.55555556
41323,"female",20,"No","visual",1,33.33333333
41377,"female",21,"Yes","audio",1,66.66666667
41377,"female",21,"Yes","visual",1,88.88888889
41416,"male",19,"No","visual",1,66.66666667
41416,"male",19,"No","audio",1,88.88888889
41524,"female",21,"No","audio",1,77.77777778
41524,"female",21,"No","visual",1,44.44444444
41584,"male",20,"Yes","audio",0,66.66666667
41584,"male",20,"Yes","visual",0,77.77777778
41620,"female",19,"No","audio",1,44.44444444
41620,"female",19,"No","visual",1,66.66666667
41627,"male",20,"No","visual",1,55.55555556
41627,"male",20,"No","audio",1,66.66666667
41654,"male",18,"Yes","audio",1,77.77777778
41654,"male",18,"Yes","visual",1,44.44444444
41655,"female",20,"Yes","audio",1,77.77777778
41655,"female",20,"Yes","visual",1,88.88888889
41719,"male",21,"Yes","audio",0,77.77777778
41719,"male",21,"Yes","visual",0,55.55555556
41726,"male",20,"No","visual",1,44.44444444
41726,"male",20,"No","audio",1,77.77777778
41978,"male",21,"Yes","visual",1,88.88888889
41978,"male",21,"Yes","audio",1,100
41979,"female",21,"Yes","audio",1,88.88888889
41979,"female",21,"Yes","visual",1,66.66666667
42023,"male",20,"No","audio",1,77.77777778
42023,"male",20,"No","visual",1,66.66666667
42028,"female",19,"Yes","audio",1,77.77777778
42028,"female",19,"Yes","visual",1,66.66666667
42144,"male",20,"Yes","audio",1,11.11111111
42144,"male",20,"Yes","visual",1,77.77777778
42247,"female",22,"Yes","audio",1,55.55555556
42247,"female",22,"Yes","visual",1,55.55555556
42301,"male",20,"No","audio",1,55.55555556
42301,"male",20,"No","visual",1,77.77777778
42304,"female",21,"Yes","audio",1,88.88888889
42304,"female",21,"Yes","visual",1,77.77777778
42341,"male",19,"Yes","audio",1,88.88888889
42341,"male",19,"Yes","visual",1,55.55555556
42345,"female",21,"Yes","audio",1,100
42345,"female",21,"Yes","visual",1,77.77777778
42407,"male",19,"Yes","audio",1,55.55555556
42407,"male",19,"Yes","visual",1,66.66666667
42408,"female",20,"Yes","audio",1,44.44444444
42408,"female",20,"Yes","visual",1,55.55555556
42577,"male",20,"No","audio",1,77.77777778
42577,"male",20,"No","visual",1,88.88888889
42635,"female",22,"No","visual",1,77.77777778
42635,"female",22,"No","audio",1,100
42650,"male",21,"Yes","audio",1,88.88888889
42650,"male",21,"Yes","visual",1,66.66666667
42759,"male",18,"Yes","audio",1,66.66666667
42759,"male",18,"Yes","visual",1,55.55555556
42762,"female",22,"Yes","audio",1,77.77777778
42762,"female",22,"Yes","visual",1,88.88888889
42830,"female",20,"No","audio",1,88.88888889
42830,"female",20,"No","visual",1,44.44444444
42880,"male",18,"Yes","audio",1,88.88888889
42880,"male",18,"Yes","visual",1,55.55555556
42887,"female",19,"No","audio",1,66.66666667
42887,"female",19,"No","visual",1,77.77777778
42888,"female",19,"Yes","audio",1,77.77777778
42888,"female",19,"Yes","visual",1,77.77777778
42911,"male",18,"No","audio",1,55.55555556
42911,"male",18,"No","visual",1,33.33333333
42912,"female",18,"Yes","audio",1,77.77777778
42912,"female",18,"Yes","visual",1,77.77777778
42919,"female",19,"No","audio",1,88.88888889
42919,"female",19,"No","visual",1,44.44444444
42933,"female",18,"Yes","audio",1,88.88888889
42933,"female",18,"Yes","visual",1,55.55555556
42942,"female",18,"Yes","audio",1,77.77777778
42942,"female",18,"Yes","visual",1,77.77777778
42945,"male",19,"No","visual",1,88.88888889
42945,"male",19,"No","audio",1,77.77777778
42947,"male",18,"Yes","visual",1,77.77777778
42947,"male",18,"Yes","audio",1,77.77777778
42968,"male",18,"Yes","audio",0,33.33333333
42968,"male",18,"Yes","visual",0,55.55555556
42971,"female",18,"Yes","audio",1,100
42971,"female",18,"Yes","visual",1,66.66666667
42972,"male",18,"Yes","audio",1,88.88888889
42972,"male",18,"Yes","visual",1,33.33333333
42994,"male",18,"No","visual",1,77.77777778
42994,"male",18,"No","audio",1,66.66666667
43035,"male",18,"No","audio",1,66.66666667
43035,"male",18,"No","visual",1,55.55555556
43124,"male",19,"No","audio",1,100
43124,"male",19,"No","visual",1,77.77777778
43160,"male",19,"No","audio",1,77.77777778
43160,"male",19,"No","visual",1,77.77777778
43166,"male",19,"No","visual",0,88.88888889
43166,"male",19,"No","audio",0,66.66666667
43179,"female",19,"No","audio",1,77.77777778
43179,"female",19,"No","visual",1,66.66666667
43187,"female",20,"No","audio",1,55.55555556
43187,"female",20,"No","visual",1,66.66666667
43196,"female",18,"Yes","audio",1,100
43196,"female",18,"Yes","visual",1,55.55555556
43205,"female",18,"Yes","visual",1,66.66666667
43205,"female",18,"Yes","audio",1,77.77777778
43238,"female",20,"No","visual",1,88.88888889
43238,"female",20,"No","audio",1,66.66666667
43239,"male",20,"Yes","audio",1,77.77777778
43239,"male",20,"Yes","visual",1,66.66666667
43244,"male",18,"No","visual",1,44.44444444
43244,"male",18,"No","audio",1,100
43255,"male",18,"No","visual",1,44.44444444
43255,"male",18,"No","audio",1,88.88888889
43263,"male",19,"Yes","visual",1,55.55555556
43263,"male",19,"Yes","audio",1,88.88888889
43287,"male",23,"Yes","audio",1,88.88888889
43287,"male",23,"Yes","visual",1,22.22222222
43295,"male",19,"No","visual",1,55.55555556
43295,"male",19,"No","audio",1,88.88888889
43300,"male",19,"Yes","visual",0,88.88888889
43300,"male",19,"Yes","audio",0,77.77777778
43341,"female",19,"No","visual",1,55.55555556
43341,"female",19,"No","audio",1,88.88888889
43384,"male",19,"Yes","audio",1,88.88888889
43384,"male",19,"Yes","visual",1,88.88888889
43386,"female",20,"Yes","visual",1,100
43386,"female",20,"Yes","audio",1,77.77777778
43433,"female",18,"Yes","visual",1,55.55555556
43433,"female",18,"Yes","audio",1,77.77777778
43456,"female",18,"No","visual",1,77.77777778
43456,"female",18,"No","audio",1,55.55555556
43498,"female",20,"Yes","audio",1,77.77777778
43498,"female",20,"Yes","visual",1,77.77777778
43519,"female",24,"No","audio",1,100
43519,"female",24,"No","visual",1,88.88888889
43523,"female",20,"Yes","visual",1,66.66666667
43523,"female",20,"Yes","audio",1,77.77777778
43534,"male",18,"Yes","visual",1,66.66666667
43534,"male",18,"Yes","audio",1,77.77777778
43543,"male",24,"No","visual",1,77.77777778
